,product,brand,seller,financing_amount,sale_price
57,Tv 50 Smart Samsung Un50au7000gczb Uhd 4K Serie Au7000 Hdmi - Un50au7000gczb,Samsung,Ceven,15698.46,169999.0
58,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
59,"Smart Led 4K 55"" Samsung Q60a Eq Qn55q60aagczb",Samsung,Hendel,19475.35,210899.0
60,Smart Tv Philips 32 Pulgadas Android Tv Led Hd 32Phd6917/77,Philips,Ceven,7018.09,75999.0
61,Smart Tv 4K Mini Qled 55 Tcl L55c825 120Hz Google Tv Webcam,TCL,Agen,36937.69,399999.0
62,Televisor Smart 50 Rca And50fxuhdf Android Uhd 4K,RCA,Outletech,13639.18,147699.0
63,Smart Tv Philco 32 Led Hd Pld32hs22 Wifi Netflix,Philco,Ceven,4570.13,49490.0
64,"Smart Tv Hisense H5018uh6 Led 4K 50"" 100V/240v",Hisense,Belkiare,13511.1,146312.0
65,Smart Tv Led Philips 75 4K Uhd 75Pud8507/77 Ambilight Wifi,Philips,Ebox,31674.05,342999.0
66,Smart Tv 50 Pulgadas 4K Ultra Hd 50U6295/77g - Aoc,AOC,Radio Sapienza,9972.28,107990.0
67,Smart Tv Hd 32 Pulgadas Tcl L32s65a Hdr Bluetooth Android Tv,TCL,Agen,5263.54,56999.0
68,Smart Tv Rca 50 Pulgadas And50fxuhd 4K Android Tv Hdr Hdmi,RCA,Ceven,10896.55,117999.0
69,Smart Tv Noblex Dq75x9500pi 75 Qled 4K Uhd Android Tv,Noblex,Newsan,32320.46,349999.0
70,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
71,"Tv Led Tcl 55"" 4K L50p725 Android Hdr",TCL,Pronto Tec,13851.57,149999.0
72,Televisor Smart 40 Tcl Android Tv-rv L40s66e,TCL,*Outletech*,8587.94,92999.0
73,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
74,Barra Sonido Jbl Sb120 Dolby Digital Bluetooth 110W Original,JBL,Punto Digital,4617.13,49999.0
75,Televisor Tcl Led 50  Uhd Google Tv-rv,TCL,Baires IT,9040.43,97899.0
76,"Smart Tv Samsung 55"" Eq Led Au7000 Uhd",Samsung,Hendel,19207.55,207999.0
77,Televisor Samsung Smart Tv 55  Qled 4K Qn55q80aagczb,Samsung,Baires IT,34906.11,377999.0
78,Televisor Noblex 43  Smart Tv Dr43x7100 Android Full Hd ,Noblex,Ceven,9419.04,101999.0
79,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
80,Lg Smart Tv Ai Fhd 43'',LG,Newsan,10619.52,114999.0
81,"Smart Tv Philips 4K 50"" 50Pud7406/77",Philips,Hendel,14267.12,154499.0
82,Tv 43  Smart Samsung Un43au7000gczb Uhd 4K Hdr Hdmi Netflix,Samsung,Ceven,10619.52,114999.0
83,Smart Tv Lg 50  Led Real 4K Uhd Hdr 10 Pro Thinq 50Up7750,LG,Ceven,16621.91,179999.0
84,Smart Tv Noblex Dk32x5050pi Led Hd 32'',Noblex,Newsan,4617.13,49999.0
85,"Smart Tv Aoc 32"" Hd S5295/77g",AOC,Hendel,4312.39,46699.0
86,"Smart Tv 50"" 4K Noblex Android Tv Dm50x7550 Ultra Hd",Noblex,OscarBarbieri,10514.34,113860.0
87,Smart Tv Noblex Dj50x6500 Led 4K 50  220V,Noblex,Torca,9879.93,106990.0
88,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
89,Led Tcl 40  L40s66e-f Smart Android Tv Full Hd 1920X1080 Hdm,TCL,Torca,6647.88,71990.0
90,Barra Sonido Jbl Sb120 Dolby Digital Bluetooth 110W Original,JBL,Punto Digital,4617.13,49999.0
91,"Smart Tv Led 4K Hyundai 58"" Hyled-uhdsa",Hyundai,Hendel,14405.64,155999.0
92,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
93,"Tv Smart 32"" Hisense Hd 32A42h",Hisense,Dorazi,5900.72,63899.0
94,Smart Tv Rca And40y Led Full Hd 40  100V/240v,RCA,Torca,6463.19,69990.0
95,Led Rca 40  S40and-f Smart Full Hd Hdmi/usb/sint Digit/andro,RCA,Torca,6463.19,69990.0
96,"Smart Tv 60"" 4K Lg 60Up7750 Negro",LG,Hendel,18884.35,204499.0
97,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
98,"Televisor Smarttv Hyundai 32"" Hd",Hyundai,Etercor,5633.01,61000.0
99,Smart Tv Samsung 75   Cristal Uhd 4K Serie 8 Un75au8000gczb,Samsung,Ceven,36937.69,399999.0
100,"Tv Smart 43"" Hisense 43A42h Full Hd",Hisense,Dorazi,8551.0,92599.0
101,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
102,"Smart Tv Lg 32"" 32Lm620 Hd Lg Led",LG,Hendel,6150.05,66599.0
103,Smart Tv Rca 50 Pulgadas And50fxuhd 4K Android Tv Hdr Hdmi,RCA,Ceven,10896.55,117999.0
104,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
105,Televisor Kanji Kj-24tm005 Led Full Hd 24 Pulgadas 220V,Kanji,Dacar Hogar,3453.59,37399.0
106,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv - Noblex",Noblex,Radio Sapienza,8772.63,94999.0
107,Smart Tv Samsung Qled 55  4K Serie 6 Qn55q60aagczb,Samsung,Ceven,23640.09,255999.0
108,"Led Smart Tv Philips 43"" (43Pfd6825/77)",Philips,24 Store,8058.16,87262.0
109,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
110,"Smart Tv 43"" Lg Full Hd 43Lm6350psb",LG,OscarBarbieri,9474.45,102599.0
111,Smart Tv 4K Mini Qled 55 Tcl L55c825 120Hz Google Tv Webcam,TCL,Agen,36937.69,399999.0
112,"Smart Tv 32"" Kodak 32Mt005 Hd",Kodak,OscarBarbieri,4795.35,51929.0
113,Smart Tv Lg 43  Led Real 4K Uhd Hdr 10 Pro Thinq 43Up7750,LG,Ceven,12928.04,139998.0
114,Smart Tv Lg 43'' Uhd 4K 43Up7750,LG,Diggit,12798.85,138599.0
115,"Smart Tv 50"" 4K Lg 50Up7750 Negro",LG,Hendel,15975.5,172999.0
116,Smart Tv Fullhd 42 Pulgadas Quint Qt1 Qt1-42frame Dolby Wifi,Quint,Dinatech,5817.61,62999.0
117,Led Tcl 50  L50p725 Smart 4K Google Tv Rv Hdmi/usb/sint Dig/,TCL,Torca,10600.22,114790.0
118,Televisor Tcl Led 50  Uhd Google Tv-rv,TCL,Baires IT,9040.43,97899.0
119,Smart Tv Sansei Tds2232hipi Led Hd 32 ,Sansei,Newsan,3693.69,39999.0
120,Smart Tv 43 Pulgadas 4K Ultra Hd 43Au7000 - Samsung,Samsung,Megatone,11413.68,123599.0
121,Televisor Samsung Smart Tv 55  Qled 4K Qn55q80aagczb,Samsung,Baires IT,34906.11,377999.0
122,"Smart Tv 32"" Hd Samsung Un32t4300agczb Negro",Samsung,Hendel,5725.26,61999.0
123,Smart Tv 4K 50 Pulgadas Hitachi Le504ksmart21 Hdr Bt Android,Hitachi,Agen,10711.86,115999.0
124,Smart Tv 55 Pulgadas 4K Ultra Hd L55p725 - Tcl,TCL,Megatone,13149.76,142399.0
125,"Lg Uhd Ai Thinq 75'' Up77 4K Smart Tv, Α5 Ai Processor, Magic Remote",LG,Newsan,37861.13,409999.0
