,product,brand,seller,financing_amount,sale_price,total_pricefin
117,Led Tcl 50  L50p725 Smart 4K Google Tv Rv Hdmi/usb/sint Dig/,TCL,Torca,10600.22,114790.0,190803.96
118,Televisor Tcl Led 50  Uhd Google Tv-rv,TCL,Baires IT,9040.43,97899.0,162727.74
119,Smart Tv Sansei Tds2232hipi Led Hd 32 ,Sansei,Newsan,3693.69,39999.0,66486.42
120,Smart Tv 43 Pulgadas 4K Ultra Hd 43Au7000 - Samsung,Samsung,Megatone,11413.68,123599.0,205446.24
121,Televisor Samsung Smart Tv 55  Qled 4K Qn55q80aagczb,Samsung,Baires IT,34906.11,377999.0,628309.98
122,"Smart Tv 32"" Hd Samsung Un32t4300agczb Negro",Samsung,Hendel,5725.26,61999.0,103054.68000000001
123,Smart Tv 4K 50 Pulgadas Hitachi Le504ksmart21 Hdr Bt Android,Hitachi,Agen,10711.86,115999.0,192813.48
124,Smart Tv 55 Pulgadas 4K Ultra Hd L55p725 - Tcl,TCL,Megatone,13149.76,142399.0,236695.68
125,"Lg Uhd Ai Thinq 75'' Up77 4K Smart Tv, Α5 Ai Processor, Magic Remote",LG,Newsan,37861.13,409999.0,681500.34
126,"Smart Tv 43"" Uhd 4K Samsung 43Au7000",Samsung,Hendel,9945.4,107699.0,179017.19999999998
127,Smart Tv Philips 32” Led Hd 32Phd6825/77,Philips,Radio Sapienza,4817.61,52170.0,86716.98
128,"Smart Tv Hyundai 43"" Fhd Hyled-43fhd7a",Hyundai,Etercor,10734.95,116249.0,193229.1
129,Led Rca 40  S40and-f Smart Full Hd Hdmi/usb/sint Digit/andro,RCA,Torca,6463.19,69990.0,116337.42
130,Televisor Noblex Smart Tv Dk32x5050pi Led Hd 32 Pulgadas,Noblex,Ceven,5540.57,59999.0,99730.26
131,"Smart Tv Hisense H5018uh6 Led 4K 50"" 100V/240v",Hisense,Belkiare,13511.1,146312.0,243199.80000000002
132,Smart Tv 4K 65 Pulgadas Rca And65p7uhd Bluetooth Hdr Android,RCA,Agen,18468.8,199999.0,332438.39999999997
133,"Smart Tv Hitachi 50"" Uhd 4K Le504ksmart21",Hitachi,Diggit,11478.32,124299.0,206609.76
134,"Smart Tv Sansei 91Tds2250ui‬pi Led 50"" 4K Uhd Tv",Sansei,Newsan,7849.19,84999.0,141285.41999999998
135,Tv Led 32 Philips 32Phd682577,Philips,Grupo Nucleo,4801.82,51999.0,86432.76
136,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0,124663.31999999999
137,"Smart Tv Sansei 91Tds2255uipi Led 4K Uhd 55""",Sansei,Newsan,8772.63,94999.0,157907.34
138,Lg Nanocell Ai Thinq 4K 65'',LG,Newsan,28626.69,309999.0,515280.42
139,Smart Tv Philips 32Phd6917 Hd 32 Pulgadas Android Bt Hdr Voz,Philips,Ebox,6211.92,67269.0,111814.56
140,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0,166218.30000000002
141,Televisor Noblex 43  Smart Tv Dr43x7100 Android Full Hd ,Noblex,Ceven,9419.04,101999.0,169542.72000000003
142,"Smart Tv Xiaomi Mi Tv P1 43"" Lm",Xiaomi,Etercor,13851.67,150000.0,249330.06
143,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0,166218.30000000002
144,Smart Tv Samsung 75 Pulgadas Neo Qled 4K Qn75qn85bagczb,Samsung,Ceven,66118.53,715999.0,1190133.54
145,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0,124663.31999999999
